,vignette_name,generation_number,generation_time,response,reflection_score,id
0,Erica,1,0,break one of the windows,0,YX5fuO4VpL3Et7bB
1,Erica,2,0,call the police,0,YX5fuO4VpL3Et7bB
2,Erica,3,0,alert mall security,0,YX5fuO4VpL3Et7bB
3,Erica,4,0,ask a stranger for help,0,YX5fuO4VpL3Et7bB
4,Erica,5,0,call 911,0,YX5fuO4VpL3Et7bB
5,Erica,6,0,flag someone for help,0,YX5fuO4VpL3Et7bB
6,Daniel,1,0,call the taxi service,0,YX5fuO4VpL3Et7bB
7,Daniel,2,0,call the police,0,YX5fuO4VpL3Et7bB
8,Daniel,3,0,tell your sister the bad news,0,YX5fuO4VpL3Et7bB
9,Daniel,4,0,ask if someone has a ring you could borrow,0,YX5fuO4VpL3Et7bB
10,Daniel,5,0,call 911,0,YX5fuO4VpL3Et7bB
11,Daniel,6,0,cry,0,YX5fuO4VpL3Et7bB
12,Eva,1,0,leave to get help,0,YX5fuO4VpL3Et7bB
13,Eva,2,0,leave to try and get a better phone signal,0,YX5fuO4VpL3Et7bB
14,Eva,3,0,try and find water,0,YX5fuO4VpL3Et7bB
15,Eva,4,0,try and find a stranger to help you,0,YX5fuO4VpL3Et7bB
16,Eva,5,0,leave your friend to die,0,YX5fuO4VpL3Et7bB
17,Eva,6,0,die with your friend from dehydration,0,YX5fuO4VpL3Et7bB
18,Mary,1,0,tell your teacher what happened,0,YX5fuO4VpL3Et7bB
19,Mary,2,0,blame your mom,0,YX5fuO4VpL3Et7bB
20,Mary,3,0,call your mom and ask her to bring it to you,0,YX5fuO4VpL3Et7bB
21,Mary,4,0,tell your teacher the dog ate it,0,YX5fuO4VpL3Et7bB
22,Mary,5,0,lie to teacher and say your mom lost it,0,YX5fuO4VpL3Et7bB
23,Mary,6,0,offer to turn it in tommorrow,0,YX5fuO4VpL3Et7bB
24,Darya,1,0,leave Ted by himself and go to the concert,0,YX5fuO4VpL3Et7bB
25,Darya,2,0,offer to skip the concert and go somewhere else with Ted,0,YX5fuO4VpL3Et7bB
26,Darya,3,0,Offer to give Ted your ticket,0,YX5fuO4VpL3Et7bB
27,Darya,4,0,tell Ted he should have been more responsible,0,YX5fuO4VpL3Et7bB
28,Darya,5,0,make fun of Ted's situation,0,YX5fuO4VpL3Et7bB
29,Darya,6,0,tell Ted to just go home,0,YX5fuO4VpL3Et7bB
30,Jeff,1,0,call your boss again,0,YX5fuO4VpL3Et7bB
31,Jeff,2,0,ask a coworker to take over,0,YX5fuO4VpL3Et7bB
32,Jeff,3,0,call the court and tell them you will be late,0,YX5fuO4VpL3Et7bB
33,Jeff,4,0,call the court and tell them you are sick,0,YX5fuO4VpL3Et7bB
34,Jeff,5,0,quit your job,0,YX5fuO4VpL3Et7bB
35,Jeff,6,0,tell the boss you are closing the store and leaving,0,YX5fuO4VpL3Et7bB
36,Cameron,1,0,tell her sorry but you can't,0,YX5fuO4VpL3Et7bB
37,Cameron,2,0,tell about a nearby bus stop,0,YX5fuO4VpL3Et7bB
38,Cameron,3,0,offer to call her a cab,0,YX5fuO4VpL3Et7bB
39,Cameron,4,0,tell her you are goin in a different direction,0,YX5fuO4VpL3Et7bB
40,Cameron,5,0,laugh at her situation,0,YX5fuO4VpL3Et7bB
41,Cameron,6,0,ignore her,0,YX5fuO4VpL3Et7bB
42,Heinz,1,0,ask friends and family for money,0,YX5fuO4VpL3Et7bB
43,Heinz,2,0,go into your retirement fund,0,YX5fuO4VpL3Et7bB
44,Heinz,3,0,get a loan,0,YX5fuO4VpL3Et7bB
