StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,S1-FR_4,S1-FR_5,S1-FR_6,S1-FR_7,S1-FR_8,S1FRtime_First Click,S1FRtime_Last Click,S1FRtime_Page Submit,S1FRtime_Click Count,S1A1_4,S1A1_5,S1A1_6,S1A2_4,S1A2_5,S1A2_6,S1A3_4,S1A3_5,S1A3_6,S1A4_4,S1A4_5,S1A4_6,S1A5_4,S1A5_5,S1A5_6,S2-FR_4,S2-FR_5,S2-FR_6,S2-FR_7,S2-FR_8,S2FRtime_First Click,S2FRtime_Last Click,S2FRtime_Page Submit,S2FRtime_Click Count,S2A1_4,S2A1_5,S2A1_6,S2A2_4,S2A2_5,S2A2_6,S2A3_4,S2A3_5,S2A3_6,S2A4_4,S2A4_5,S2A4_6,S2A5_4,S2A5_5,S2A5_6,S3-FR_4,S3-FR_5,S3-FR_6,S3-FR_7,S3-FR_8,S3FRtime_First Click,S3FRtime_Last Click,S3FRtime_Page Submit,S3FRtime_Click Count,S3A1_4,S3A1_5,S3A1_6,S3A2_4,S3A2_5,S3A2_6,S3A3_4,S3A3_5,S3A3_6,S3A4_4,S3A4_5,S3A4_6,S3A5_4,S3A5_5,S3A5_6,S4-FR_4,S4-FR_5,S4-FR_6,S4-FR_7,S4-FR_8,S4FRtime_First Click,S4FRtime_Last Click,S4FRtime_Page Submit,S4FRtime_Click Count,S4A1_4,S4A1_5,S4A1_6,S4A2_4,S4A2_5,S4A2_6,S4A3_4,S4A3_5,S4A3_6,S4A4_4,S4A4_5,S4A4_6,S4A5_4,S4A5_5,S4A5_6,S5-FR_4,S5-FR_5,S5-FR_6,S5-FR_7,S5-FR_8,S5FRtime_First Click,S5FRtime_Last Click,S5FRtime_Page Submit,S5FRtime_Click Count,S5A1_4,S5A1_5,S5A1_6,S5A2_4,S5A2_5,S5A2_6,S5A3_4,S5A3_5,S5A3_6,S5A4_4,S5A4_5,S5A4_6,S5A5_4,S5A5_5,S5A5_6,S6-FR_4,S6-FR_5,S6-FR_6,S6-FR_7,S6-FR_8,S6FRtime_First Click,S6FRtime_Last Click,S6FRtime_Page Submit,S6FRtime_Click Count,S6A1_4,S6A1_5,S6A1_6,S6A2_4,S6A2_5,S6A2_6,S6A3_4,S6A3_5,S6A3_6,S6A4_4,S6A4_5,S6A4_6,S6A5_4,S6A5_5,S6A5_6,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,FL_11_DO_Scenario1,FL_11_DO_Scenario2,FL_11_DO_Scenario3,FL_11_DO_Scenario4,FL_11_DO_Scenario5,FL_11_DO_Scenario6
8/21/2020 7:42,8/21/2020 7:52,0,,100,616,1,8/21/2020 7:52,R_2zBxWdNmKy1tOmX,,,,,,,anonymous,EN,Ask family/friends for money.,Try and find it cheaper elsewhere.,Take out a loan.,Pay it anyways.,Try and haggle with insurance or seller.,6.5,8.963,37.907,2,66,100,89,61,100,80,42,53,47,74,83,76,32,84,59,Call emergency services.,Ditch his car.,Call a taxi/Uber.,Cancel the trip.,Look for later flights.,165.942,166.447,194.055,3,91,100,100,0,14,0,82,99,92,10,14,4,52,78,70,Do nothing.,Use his own money.,Ask the workers to pay.,Try and sell more.,Let his manager know the error.,0.502,7.487,38.822,2,38,53,36,79,20,31,20,0,2,32,54,54,29,91,42,Go back to work to let her know.,Go back to work and ignore it.,Buy a day pass.,Ask to be let in for just today.,Try and get someone else's phone.,10.133,10.847,52.769,3,51,89,73,13,0,8,74,100,85,52,53,49,60,92,83,Do nothing and take the punishment.,Tell the teacher the mistake.,Call her mom and try to get it.,Lie.,Copy others.,24.567,24.833,69.005,2,59,87,82,75,95,82,34,70,31,41,2,67,23,0,66,Call a rescue crew.,Tell the others.,Begin rationing.,Look for food and water.,Try and backtrack.,7.484,29.976,34.831,4,100,100,100,81,100,96,88,100,98,75,91,85,42,35,36,,22,1,5,,5,2,5,2,4,1,6,3
8/21/2020 7:42,8/21/2020 7:54,0,,100,680,1,8/21/2020 7:54,R_1CwjiQB2bYDNb14,,,,,,,anonymous,EN,start a fundraiser,steal the medication,steal money to pay for the medicine,apply for a loan,file an appeal with the insurance company,0.992,1.393,53.538,2,60,92,95,19,68,48,36,29,43,74,94,95,84,96,99,call a cab,walk to the nearest bus stop,call a tow truck,call the airline,call in a bomb threat to the airport,0.995,0.995,69.62,1,87,98,99,39,91,87,97,97,98,72,94,93,5,0,0,explain the situation to the manager,take money out of the tip jar,cover the difference with his own money,steal money to cover the difference,alter the day's receipts,0.822,0.822,82.252,1,81,98,97,31,21,45,40,81,67,11,0,23,36,16,46,reactivate her membership,borrow someone's phone to call her friend,go back to work,buy a guest pass to the gym,pretend she is still a member,0.979,59.386,95.543,4,51,93,79,60,94,83,28,39,63,65,93,93,42,11,51,explain the situation to the teacher,ask her mom to bring the assignment to school,copy a friend's work,try to quickly redo the assignment,lie to the teacher,0.824,61.519,64.623,4,92,100,97,60,95,86,29,7,51,20,85,67,30,7,52,try to find a river for a source of water,keep hiking,start a fire to alert people to their location,huddle together for warmth,try to navigate using the position of the sun,1.034,1.034,96.075,1,82,98,99,50,94,95,81,97,97,86,96,96,75,97,96,,26,2,5,,5,8,5,2,3,4,1,6
8/21/2020 7:40,8/21/2020 7:54,0,,100,832,1,8/21/2020 7:54,R_2zOWWQSAdsHYyS7,,,,,,,anonymous,EN,Steal the money to get the medicine,Steal the medicine,Try and get others to donate to help,Ask if there are any cheaper alternatives,Give up,1.023,15.822,66.397,3,10,25,0,20,30,0,80,100,80,100,100,100,5,0,0,Call a cab to pick him up,Hitchhike,Call a friend to come get him,Try and get his car to run just enough to make it to the airport,Steal someone else's car,1.215,9.15,91.988,3,90,100,100,15,100,20,90,100,100,65,100,100,0,0,0,Replace the money with his own,Get the rest of the staff to pool money to make up the difference,Pretend he doesn't notice and let everyone work the overtime,Change the records to erase the 50.75,Offer to work it himself to make up the difference,1.613,96.095,106.82,5,40,100,50,25,20,30,55,0,60,20,0,15,50,100,40,Sneak into the gym and meet her friend,Call her friend from the phone in the gym,Leave and explain to her friend later,Wait outside to meet her friend,Ask the gym staff to let her friend know,1.112,103.356,103.717,7,10,0,0,71,100,80,80,50,90,50,50,66,82,100,100,Tell the teacher the truth and ask for a delay,Copy someone else's homework,Say the dog ate it,Just not turn anything in,Pretend to be sick and leave,0.92,6.113,51.691,2,70,100,100,70,10,60,10,0,20,40,0,15,50,20,50,Use his phone to call for help,Try and find some food and water,Yell to see if anyone else is in the area and can help them,Continue trying to find their way,Sit down and hope a rescue crew shows up in time,0.995,0.995,93.127,1,95,100,100,90,100,100,50,100,60,40,20,50,50,80,100,,40,1,5,,2,9,5,2,1,6,4,3
8/21/2020 7:43,8/21/2020 7:58,0,,100,878,1,8/21/2020 7:58,R_rd1f6MJZoCT6LUB,,,,,,,anonymous,EN,Start a gofundme page,ask family for help,look for government assistance,talk to their insurance company,work extra hours for the money,9.453,45.41,69.851,3,71,93,84,94,87,90,87,55,75,87,95,94,94,95,95,Call his insurance company,Call for a tow truck,Call a friend to come help you ,call the airport and see if the flight is on time,Leave the car and walk to the airport,17.729,18.403,100.19,2,100,100,100,95,100,100,93,100,100,80,99,89,32,93,26,Recount his drawer,Check the receipts for discrepencies,Check under the register for the missing money,Check the entire bakery to look for the money,Redo his paperwork to find his error,22.353,22.353,122.25,1,100,100,100,100,100,100,93,100,100,83,97,99,95,98,98,Go to the gym and ask if her friend is there yet,Go to the gym and update her membership,Go back to her desk to get her phone,Walk the same way her friend would walk and try to find her,Ask the Gym to call her friend,12.99,122.095,128.916,2,85,100,100,98,99,100,60,100,94,74,99,99,73,98,99,Explain the situation to the teacher,Call her mom and have her bring the homework,Redo the homework really quickly before the class,Go to class and hope the teacher forgets to ask for the homework,Skip class,7.851,7.851,76.032,1,100,100,100,89,100,100,79,86,94,60,69,55,70,53,64,Use the stars to figure out where they are,search for a source of water,hunt animals for food,look for fruit trees for food,walk in the direction they think is right,13.3,13.3,63.797,1,63,99,76,92,100,100,64,87,77,92,100,93,93,97,91,,33,2,5,,3,7,5,2,3,1,4,6
8/21/2020 7:51,8/21/2020 8:00,0,,100,566,1,8/21/2020 8:00,R_22LGCmOt8AMJEEG,,,,,,,anonymous,EN,Steal the medicine,Get a second job to help afford it,Ask for a discount,Find a different insurance that will cover it,Get a coupon,7.804,48.518,55.196,7,7,92,94,81,100,100,51,100,100,31,100,100,50,100,100,Run to the airport,Steal someone's car and finish driving,Catch a cab/uber,Accept missing the flight,Call a friend for a ride,25.281,25.281,56.38,1,39,100,51,9,0,0,100,100,100,77,100,100,91,100,100,Put his own money in,Make up a story to tell the manager,Ask another employee to put the money in,Have the whole evening staff divide up the money to put in,Fudge the record so it looks like nothings missing,3.272,3.272,57.944,1,88,100,100,72,89,95,88,100,99,93,97,96,73,100,96,Sneak in,Ask the person at the desk to call her friend,Renew her membership now,Skip the game,Ask the person at the desk to let her in just this once,0.803,0.803,44.558,1,89,100,100,67,100,100,80,100,100,37,70,81,91,100,100,Skip class,Quickly redo the homework,Lie about what happened to the teacher,Tell the teacher what happened,Steal someone else's homework,12.696,12.696,48.223,1,99,93,100,82,100,100,89,81,97,98,100,100,24,93,98,Wait for rescue,Leave his friends and look for a path home,Search for fire material and start a fire,Divide up the group to look for food/water,Work with his friends to find a path out,2.035,2.035,81.643,1,100,100,100,29,50,50,85,100,100,59,99,100,63,100,100,,24,2,5,,5,7,5,4,2,6,3,1
8/21/2020 7:45,8/21/2020 8:00,0,,100,902,1,8/21/2020 8:00,R_2WwosHY9vkJKFdf,,,,,,,anonymous,EN,Sell things,Accept fate and die,Start a go fund me page,Pray for miricle,Beg relatives and friends for cash,1.136,1.136,82.664,1,100,100,100,5,100,38,7,100,60,1,100,100,44,13,12,Forget flightfix car,Get refund for trip,Call tow truck,Abandon car ,Change flight,0.995,0.995,98.292,1,5,100,100,7,100,100,6,100,100,4,45,45,100,100,100,Quit,Pay the money himself,Void sales to balance,Call staff find out who stole it.,Watch video of clerks.,1.096,1.096,118.982,1,3,100,6,90,3,18,12,1,2,88,100,100,100,100,100,Pay her bill,Wait for friend do something else,Ditch friend and lie,Go get phone,Borrow someones phone,1.139,1.139,100.393,1,8,100,100,91,100,100,8,7,9,32,100,100,35,100,100,Buy soeone elses and write her name on it.,Plagerize from the internet.,Call mom,Tell teacher she needs time to turn in and why.,Skip class,1.01,1.01,90.366,1,4,2,3,30,3,2,92,95,97,100,100,100,10,23,24,Call for rescue,Build a shelter,Start a large fire,Go south till civilization,Turn into the Donner party,1.133,102.492,103.483,9,100,33,33,100,100,100,100,80,100,77,100,100,3,1,1,,53,1,5,,4,8,5,6,2,4,1,3
8/21/2020 7:46,8/21/2020 8:00,0,,100,816,1,8/21/2020 8:00,R_2iD83BDshXrWU7v,,,,,,,anonymous,EN,Heinz could ask his family for help,Heinz could ask friends for help,Heinz could set up a Go Fund Me,Heinz could steal the money somewhere,Heinz could pick up another job,75.696,75.696,128.2,1,100,100,100,80,100,100,71,100,80,0,20,0,70,100,100,Josh can call an uber,Josh can call a friend to come help,Josh can catch the next flight,Josh can ask someone nearby for help,Josh can call roadside assistance if he has it,7.689,7.689,63.541,1,100,80,100,100,100,100,60,100,100,50,100,90,60,100,100,Brian could put in some money from his own pocket,Brian could do nothing,Brian could tell his manager once he realizes,Brian could blame someone else,Brian could try to find out who did it,11.418,11.418,75.073,1,30,100,40,100,100,100,100,100,100,30,0,20,60,100,100,Liz can wait for her friend to explain the situation,Liz can leave without saying anything,Liz can renew her membership,Liz can not renew her membership,"Liz can ask the front desk if she can play, and explain her situation",10.896,69.507,71.1,2,100,100,100,0,0,0,80,100,100,20,50,10,60,100,80,Mary could explain the situation to her teacher,Mary could call her mom and ask to bring the assignment,Mary could do nothing,Mary could bring her assignment next time with a note from her mom,Mary could ask for an extension,5.599,66.941,67.645,4,100,100,100,90,100,90,30,100,40,80,100,100,80,100,90,Brad could light a flare if he has one to alert the rescue crew,Brad can try to get to higher ground to see where he is,Brad can try to use his phone if he has one to contact emergency services,Brad can yell for help,Brad can look for more food and water in the meantime,7.747,86.857,88.313,2,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,30,2,5,,6,5,3,2,4,6,5,1
8/21/2020 7:41,8/21/2020 8:00,0,,100,1165,1,8/21/2020 8:00,R_3qegdPO1l7rt4Cd,,,,,,,anonymous,EN,Ask family for money,Sell their house for money,Break into the pharmacy and steal the medicine,Steal the money,Create a gofundme account to raise money,18.147,90.746,94.224,8,88,97,95,39,94,56,2,3,4,5,2,3,72,99,92,He could get out and run,He could try to hitchhike,He could call a taxi service,He could try to fix the car,He could call a relative to give him a ride,27.056,52.35,88.771,5,10,100,21,5,86,7,72,96,79,81,100,89,90,100,92,Let the staff work overtime,Supply the money out of his own pocket,Ask the staff to contribute to the money,Steal the money and put it in the register,Ask his family for the money,23.018,82.134,150.578,5,32,8,32,49,87,69,77,31,79,9,4,10,39,79,60,Let her friend wait for her before getting up,Borrow somebody else's phone,Ask somebody else to tell her friend,Tell the receptionist at the gym what's going on,Quickly renew her membership,15.769,90.306,102.476,5,10,4,6,90,100,91,91,100,100,78,100,84,58,100,65,Explain to the teacher exactly what happened,Steal somebody else's homework assignment and turn it in as her own,Copy somebody else's homework and turn it in,Try to complete the assignment as quickly as possible,Fake an illness,17.723,106.945,123.638,11,95,100,94,3,5,3,61,18,73,73,97,87,71,5,79,Sit tight and do not move,Create a fire with lots of smoke,Use the sun to determine the direction and start walking,Find shelter out of the elements,Climb a tree and call out for help,20.401,108.05,132.886,5,82,97,90,15,37,32,61,52,70,78,95,91,24,85,59,,44,1,5,,4,8,3,1,5,6,4,2
8/21/2020 7:49,8/21/2020 8:01,0,,100,750,1,8/21/2020 8:01,R_3D0mKqxTd33mLc1,,,,,,,anonymous,EN,Try to raise the money through GoFundMe,Take out a personal loan to cover the costs,Write letters to rich people and explain the situation,Put it on a credit card and then work extra hours to pay it off,Steal the money,10.663,71.58,75.511,4,100,100,100,100,100,100,100,100,100,100,100,100,50,50,50,Call an Uber,Call a friend to come pick him up,Hitchhike to the airport,Fix his car,Call a Taxi,14.795,14.795,52.531,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,Review camera footage to see where the money went missing,Tell the manager that it's his fault and not to punish everyone else,Put $50.75 of his own money into the register,Ask the staff to all pitch in some money ,Quit his job,13.358,13.358,117.863,1,100,100,100,90,100,100,25,100,100,5,50,50,1,50,50,Use the phone at the gym to call her friend,Renew her membership,Wait for her friend to get to the gym and explain the situation,Go back to the office and get her phone,Try to sneak in and play without a membership,8.757,87.98,88.537,5,100,100,100,100,100,100,100,100,100,25,100,100,1,0,100,Explain the situation to her teacher,Call her mom and ask her to bring the assignment,Ask to turn the assignment in later,Pretend to be sick ,Make up a lie as to why she doesn't have the assignment,9.184,9.616,55.584,2,100,100,100,100,100,100,75,100,100,50,0,100,50,0,100,Build a shelter,Gather firewood,Build a fire,Huddle together for warmth,Try to find the right way home before it's too late,21.572,21.572,73.554,1,80,100,100,100,100,100,100,100,100,100,100,100,25,50,50,,30,1,5,,5,6,4,6,5,3,2,1
8/21/2020 7:41,8/21/2020 8:01,0,,100,1239,1,8/21/2020 8:01,R_2WwZoKHRfb1Vc4c,,,,,,,anonymous,EN,Sell some personal possessions,Create a gofund me account.,Borrow from family and friends,Rob a bank,Don't buy the medicine.,8.917,75.833,128.342,5,91,100,93,50,100,30,91,100,100,1,0,0,5,1,2,Call a taxi,Try to thumb a ride,Call roadside assistance,Start walking ,Find a bus stop,18.925,149.154,154.392,10,100,100,100,57,74,58,100,100,100,21,100,12,57,100,71,Recount the cash from the register,Pay the difference out of his own pocket,Accuse an employee of making a mistake,Hide the mistake somehow,Report a robbery to the police.,16.985,123.95,140.408,5,100,100,100,60,100,20,49,20,50,19,9,10,1,2,2,Ask to use the receptionist's phone at the gym.,Renew her membership,Find a pay phone to use.,Borrow another member's phone,Simply wait for her friend to arrive.,35.306,150.56,173.261,8,71,100,20,91,100,100,25,100,100,49,100,20,51,52,11,Call her mother and have her bring it to school,Tell the teacher the dog ate her homework,Copy a friend's assignment,Skip class,Fake an illness to get out of class,13.247,122.355,150.155,9,87,100,92,30,12,49,68,0,52,50,4,51,11,1,13,Start a fire,Forage or hunt for food,Hide remaining food and water from friends,Steal food or water from friends,Resort to cannibalism,18.314,169.945,170.825,10,100,100,100,97,100,100,50,0,11,9,0,2,1,0,0,,52,1,5,,5,7,3,6,2,1,5,4
