StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,S13-FR_4,S13-FR_5,S13-FR_6,S13-FR_7,S13-FR_8,S13FRtime_First Click,S13FRtime_Last Click,S13FRtime_Page Submit,S13FRtime_Click Count,S13A1_7,S13A1_8,S13A1_9,S13A2_7,S13A2_8,S13A2_9,S13A3_7,S13A3_8,S13A3_9,S13A4_7,S13A4_8,S13A4_9,S13A5_7,S13A5_8,S13A5_9,S14-FR_4,S14-FR_5,S14-FR_6,S14-FR_7,S14-FR_8,S14FRtime_First Click,S14FRtime_Last Click,S14FRtime_Page Submit,S14FRtime_Click Count,S14A1_4,S14A1_5,S14A1_6,S14A2_4,S14A2_5,S14A2_6,S14A3_4,S14A3_5,S14A3_6,S14A4_4,S14A4_5,S14A4_6,S14A5_4,S14A5_5,S14A5_6,S15-FR_4,S15-FR_5,S15-FR_6,S15-FR_7,S15-FR_8,S15FRtime_First Click,S15FRtime_Last Click,S15FRtime_Page Submit,S15FRtime_Click Count,S15A1_4,S15A1_5,S15A1_6,S15A2_4,S15A2_5,S15A2_6,S15A3_4,S15A3_5,S15A3_6,S15A4_4,S15A4_5,S15A4_6,S15A5_4,S15A5_5,S15A5_6,S16-FR_4,S16-FR_5,S16-FR_6,S16-FR_7,S16-FR_8,S16FRtime_First Click,S16FRtime_Last Click,S16FRtime_Page Submit,S16FRtime_Click Count,S16A1_4,S16A1_5,S16A1_6,S16A2_4,S16A2_5,S16A2_6,S16A3_4,S16A3_5,S16A3_6,S16A4_4,S16A4_5,S16A4_6,S16A5_4,S16A5_5,S16A5_6,S17-FR_4,S17-FR_5,S17-FR_6,S17-FR_7,S17-FR_8,S17FRtime_First Click,S17FRtime_Last Click,S17FRtime_Page Submit,S17FRtime_Click Count,S17A1_4,S17A1_5,S17A1_6,S17A2_4,S17A2_5,S17A2_6,S17A3_4,S17A3_5,S17A3_6,S17A4_4,S17A4_5,S17A4_6,S17A5_4,S17A5_5,S17A5_6,S18-FR_4,S18-FR_5,S18-FR_6,S18-FR_7,S18-FR_8,S18FRtime_First Click,S18FRtime_Last Click,S18FRtime_Page Submit,S18FRtime_Click Count,S18A1_4,S18A1_5,S18A1_6,S18A2_4,S18A2_5,S18A2_6,S18A3_4,S18A3_5,S18A3_6,S18A4_4,S18A4_5,S18A4_6,S18A5_4,S18A5_5,S18A5_6,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses
9/28/2020 11:57,9/28/2020 12:05,0,,100,504,1,9/28/2020 12:05,R_3oEXpkigYH5RDpE,,,,,,,anonymous,EN,call the taxi company,tell his sister,go buy a new ring,borrow a ring,postpone,7.464,7.464,53.761,1,50,91,74,99,91,93,26,17,25,96,23,43,18,7,8,move to a bigger apartment,move in with his dad,regularly check in,sleep on the couch,get a second job ,1.478,1.478,55.956,1,90,92,94,95,95,95,98,97,96,96,95,96,71,59,71,ration food,fish,push people overboard,not give food to fat people,not eat,12.524,12.524,50.269,1,100,100,100,100,100,100,29,12,7,60,60,53,73,52,85,go for help,chip away at the rock,start a signal fire,finish the hike,cut off his arm,14.802,14.802,41.173,1,100,100,100,100,99,100,73,85,89,0,0,0,19,57,0,keep calling,call another employee ,reschedule appointment,close store,leave store empty,16.099,16.099,41.5,1,100,100,100,100,100,100,100,100,100,77,69,45,0,0,0,finish the race,call for help,stop and help,shoot competetor,pretend she didn't see it,1,1,44.268,1,89,77,79,100,100,100,81,90,86,0,0,0,62,29,40,,44,1,2,,8,6
9/28/2020 11:57,9/28/2020 12:07,0,,100,606,1,9/28/2020 12:07,R_xlJHfvIBuLo1cYx,,,,,,,anonymous,EN,pass out from panic,punch the bride and run as a distraction,explain himself,call the cab company,hand over cash instead to replace the ring,0.579,1.229,39.948,2,27,40,5,0,0,0,100,44,100,100,52,100,0,0,0,kill his father,leave his father at a fire station,let his father be homeless,give his father his bedroom and sleep on the floor,sedate his father and keep him in a closet,0.524,0.524,40.513,1,0,0,0,0,0,0,0,0,16,60,100,83,0,0,0,ration food,start collecting fish,set some people adrift on a raft,kill and eat people,kill people so there are less people to feed,2.593,2.593,33.656,1,100,100,100,100,100,100,16,0,16,0,0,3,0,0,0,leave him,cut off his arm,go get water,go get help,jump off the cliff,14.577,46.846,47.811,2,0,0,40,5,9,6,100,100,100,100,100,100,0,0,0,call his boss again,call somebody else to cover for him,stay at the store,leave the store unattended,close the store,1.088,1.088,22.924,1,100,58,100,100,100,100,100,100,100,100,46,100,100,100,100,leave the person,stop and all for help,load the person on her sled and take them with her,kill the person,leave a sign so the next person finds them,1.17,1.17,50.484,1,0,0,20,74,100,79,60,100,82,0,0,0,4,4,21,,37,1,5,,5,8
9/28/2020 11:59,9/28/2020 12:08,0,,100,530,1,9/28/2020 12:08,R_7NvLltWFjtxOlVL,,,,,,,anonymous,EN,Call the taxi,run after the taxi,tell his sister,get help to find the ring,cry,0.71,0.71,38.45,1,100,100,100,100,100,100,100,100,100,100,100,100,62,91,63,Call for help,look into other options,sign up for help,look on the internet for help,put his dad in a nursing home,0.819,0.819,47.546,1,100,100,100,100,100,100,100,100,100,100,100,100,100,67,90,Ration out food,Appoint some leaders,Try to get help faster.,Calm people down,Have everyone work together. ,1.668,31.358,50.111,5,100,100,100,65,100,100,100,100,100,100,100,100,100,100,100,Give him shade and run for help,stay with him in hopes that someone comes by,walk until she gets a cell phone signal,Leave him there,continue to try to get him out. ,13.429,56.42,70.983,2,100,100,100,81,73,84,100,100,100,0,0,0,84,90,100,Call another worker,stay at work,call the court to reschedule,close the store and leave,call his boss again,18.423,18.423,59.472,1,100,100,100,100,74,72,100,100,100,58,70,56,100,100,100,Call 911,call for help,check the pulse of the person,give first aid,panic,0.821,0.821,39.786,1,100,100,100,100,100,100,100,100,100,100,100,100,50,80,84,,36,1,5,,4,9
9/28/2020 11:59,9/28/2020 12:09,0,,100,616,1,9/28/2020 12:09,R_1rDEzwZMM3jLROR,,,,,,,anonymous,EN,Tell the groom about the problem,Borrow a ring from someone else,delay the ceremony to go find the taxi,Tell his sister about the problem,announce to everyone he made a mistake,8.479,8.743,55.079,2,92,92,91,59,57,50,39,59,40,91,88,82,50,80,49,Just leave his father alone to figure it out,Take a loan to help his father,Let his father move in with him,Ask family to help out,Ignore his father,31.594,70.858,71.281,4,30,17,49,40,71,43,50,80,63,81,82,81,20,21,37,Maintain a calm atmosphere,Ration the remaining supplies,Radio for a more immediate rescue,Try to fix the boat,Manually paddle/move the boat,1.794,2.25,55.94,2,91,100,92,90,95,95,69,93,70,50,83,51,39,82,45,Find a freshwater river/lake,Start a fire to try to signal a rescue,Go look for help,Continue to try to dislodge the arm,Take a break to not exert all her energy,10.184,76.459,78.667,3,82,96,83,72,90,86,97,97,96,96,96,93,51,70,71,Close the store and leave a note on the door,Wait for the boss to arrive,Call the court and ask for a extension,Just leave,Skip the court appointment,2.634,14.435,52.475,2,70,90,77,71,81,82,50,72,81,92,53,74,40,33,52,Stop and help out,Continue on ,Stop and radio in the crash,Put the person in her sled and take her to help,Flag down other racers to help out,9.364,9.364,53.005,1,93,93,92,59,32,49,88,88,88,76,82,71,71,82,72,,30,1,5,,5,6
9/28/2020 11:57,9/28/2020 12:09,0,,100,765,1,9/28/2020 12:09,R_21tG3ukrrIPHFXg,,,,,,,anonymous,EN,He could call the taxi company,He could sneak out of the ceremony and try to locate the taxi,He could borrow a temporary ring from someone at the ceremony,He could let her use his own ring,He could admit what has happened and hop for the best,4.097,62.78,73.879,6,100,100,100,91,92,92,76,82,75,76,83,78,100,100,100,Andy could move in with his father,Andy could find a bigger apartment for the two of them,Andy could ask his father to loan him some money so he can get them a nicer place together,Andy could let his father move in with him and deal with the cramped conditions,Andy could ask the state for help,5.592,69.704,82.277,5,100,100,100,82,82,83,71,71,71,86,87,87,92,93,93,He could ration the food amongst the passengers,He could try to fix the engine,He could reassure the passengers that help is on the way,He could ask his crew to start dumping heavy items that they don't need in case the ship starts to sink,He could make sure that the lifeboats are in working order,11.141,84.899,95.357,5,100,100,100,100,100,100,100,100,100,75,69,65,100,100,100,Eva could leave Todd and search for help,Eva could go to an area where she can get 911 service,Eva could leave Todd in the crevice and save herself,Eva could try to shield them from the sun with items of clothing,Eva could try and find water somewhere,5.078,84.215,98.12,5,100,83,83,100,100,100,1,1,1,100,100,100,100,100,100,He could close the store and go to court,He could call a co-worker to come and take over,He could leave and hope that his boss shows up,He could stay at work,He could keep calling his boss until he answers,15.702,53.747,64.888,5,76,81,76,100,100,100,77,77,75,71,71,65,100,100,100,She could contact someone to come and help,She could try and wake him up,She could go and find help,She could leave him there because she wants to come in first,She could start shouting and screaming for someone to help them,6.306,55.434,73.005,5,100,100,100,100,100,100,100,100,100,1,1,1,100,100,100,,54,2,5,,4,7
9/28/2020 11:58,9/28/2020 12:10,0,,100,742,1,9/28/2020 12:10,R_23fpNlJP1Xq99iI,,,,,,,anonymous,EN,Pretend to faint,Admit he lost it,Lie,Run out and never go back,Act confused,1.06,1.06,47.639,1,5,20,0,100,100,100,59,10,30,0,0,0,40,5,5,Get a new Apartment,Do nothing,Move his father in,Call the state,Pay for his dads bills,16.425,61.106,71.734,2,70,100,75,5,5,10,100,100,80,70,60,55,71,100,20,Be honest,Work as a democracy - worth with everyone to find a solution,Come up with a plan to ration the supplies,Control the supplies yourself,Work with your crew to figure it out,15.945,15.945,63.359,1,100,100,100,65,100,90,100,100,100,50,50,70,100,100,100,Stay with Todd,Go get help,Leave Todd and do nothing,Keep trying new spots to call,Keep trying to remove Todd,0.596,0.596,44.861,1,60,100,50,100,100,100,10,5,5,100,100,100,90,100,100,Call boss,Call someone else to cover shift,Call the court ,Close the store,Skip Court,18.081,18.081,48.702,1,100,100,100,100,100,100,100,100,100,50,50,70,15,50,30,Keep Going,Stop and Help,Finish the race and let someone know,Yell to someone that the competitor is down and there,Pretend she didn't see,48.184,48.184,84.755,1,50,50,50,50,100,100,80,75,50,100,100,100,35,5,15,,30,1,5,,4,5
9/28/2020 11:57,9/28/2020 12:10,0,,100,786,1,9/28/2020 12:10,R_1GyjPrX2GYFgDjD,,,,,,,anonymous,EN,call the taxi company,tell the groom,pause the ceremony ,see if taxi is close,get another ring,1.432,1.432,71.495,1,89,92,100,72,89,85,37,55,35,62,87,69,52,51,41,go live with him,make a visit schedule,find a bigger space,make extra money,teach about budgeting,18.366,18.366,80.569,1,60,87,78,66,75,82,57,62,71,46,39,37,46,40,37,see if there are fisherman on board,tell everyone what is happening,scavenge for more supplies,ration out meals,do nothing,31.997,71.88,121.689,5,68,79,89,53,62,58,70,43,81,63,55,47,56,48,9,find some water,stay with Todd,check for other bad rocks,find a way out,find cell service,30.518,30.745,96.522,2,63,75,85,54,91,87,40,42,44,50,58,55,62,57,77,close the store,call another co worker,just leave,talk to lawyer,risk the chance of being  late,19.116,34.173,56.336,2,53,48,50,78,89,99,20,52,37,66,78,90,57,54,54,get her some water,ask for more help,keep going,call 911,contact people he came with,35.91,61.336,118.915,5,75,90,85,58,98,83,8,17,25,51,62,59,42,52,59,,35,2,1,,5,5
9/28/2020 11:57,9/28/2020 12:10,0,,100,805,1,9/28/2020 12:10,R_2pX2DGEvTi4wyPx,,,,,,,anonymous,EN,Say he forgot the ring at home,Stall the wedding,Borrow a ring from someone else,Run away and try to call the taxi service,Blame someone else,7.427,17.708,62.153,2,50,59,59,41,30,31,82,55,30,24,46,35,27,8,8,Move his father into his apartment,Become his father's full-time caretaker,Kill his father,Hire in-home care,Let his father try to take care of himself,2.594,3.323,60.614,2,50,84,66,54,100,33,0,0,0,71,100,88,27,16,29,Ration the food,Feed everyone normally until food runs out,Sell food to people willing to pay the most,Let everyone starve,Make people fend for themselves,1.058,1.058,84.424,1,91,100,100,56,50,50,35,6,7,16,0,0,30,12,12,Shade Todd so he doesn't get burned,Scream for help,Try to find someone who can go get help,Look for a body of water,Find a ranger,30.776,61.663,117.558,3,50,90,91,95,87,96,100,100,100,71,94,88,75,100,100,Call a coworker to cover for him,Leave anyway,Close the store,Stay and miss his appointment,Call the court to reschedule,10.399,10.399,69.656,1,66,100,100,40,12,21,40,55,52,72,50,67,78,89,86,Call for help,Try to wake the person,Continue on her race,Take this person's dogs and use them for her gain,Put the person on her sled and turn around to bring them back for help,15.642,15.642,99.366,1,77,100,100,100,100,100,50,25,25,17,3,1,82,100,91,,26,2,5,,6,5
9/28/2020 11:59,9/28/2020 12:11,0,,100,689,1,9/28/2020 12:11,R_2VQ0LCyHe3j0cNr,,,,,,,anonymous,EN,Call the Taxi company to see if the ring has been turned in.,Explain to his sister about the ring.,Pretend to have lost it at the wedding.,Go buy a replacement.,Accuse someone of stealing it.,1.734,63.645,71.412,9,90,100,90,82,100,100,25,0,0,30,75,5,15,0,0,Take in his father.,Find other family that will take him in.,Try to hire help for his father.,Leave his father alone.,Take out a loan to pay for a retirement home.,1.938,37.921,52.393,12,70,100,85,65,100,100,75,100,75,10,0,0,25,100,50,Instruct the crew to ration the food evenly and carefully.,Hoard the food for himself.,Go without food so others can eat.,Try to fish for food.,Explain the situation to passengers and ask for their advice.,1.373,54.311,74.599,12,100,100,100,17,0,0,40,100,39,50,100,61,50,80,25,continue to try and get Todd out herself.,Go for help.,Try to find a place with phone service nearby.,Attempt to cut off Todd's arm to free him.,Leave Todd trapped.,1.49,69.713,74.468,16,75,100,80,61,100,78,65,100,76,20,25,0,0,0,0,Wait for his boss anyway.,Leave the store unattended.,Continue to try calling the boss.,Try to close the store to attend the court appointment.,Pretend to forget about the court case and keep working.,1.494,58.825,73.869,9,50,64,100,50,25,24,80,100,73,36,50,14,20,0,0,Take the man in her sled to get help,Continue the race.,Go for help.,Try to wake the man.,Try to signal for help.,2.11,60.786,71.297,11,100,100,100,10,0,0,80,80,100,100,100,100,85,100,100,,29,1,5,,5,6
9/28/2020 11:57,9/28/2020 12:11,0,,100,837,1,9/28/2020 12:11,R_2Vx6NsjNPqVACd5,,,,,,,anonymous,EN,tell the bride,tell the groom,call taxi office,tell reverend,postpone service til he gets ring,7.129,28.825,51.393,3,71,91,92,85,93,96,95,89,91,50,57,58,19,11,14,put him with another family member,move into fathers home with him,get different apartment,rent father house out,afford bigger apartment,1.964,92.372,100.1,4,7,12,12,52,67,69,32,70,75,65,49,54,61,71,100,have passengers fish,ask crew to fish,exsplain situation to passengers,rash-on the food to last ,ask for air lifted supplies,17.349,75.653,93.899,3,52,85,86,100,100,100,64,78,80,69,93,94,100,71,76,move to another spot higher up to get service,break a tree branch to put over Todd for shade,go for help,go find water,try Todds phone,17.928,85.488,87.432,4,81,99,100,49,84,87,56,80,90,66,91,99,100,100,100,lock door and go to appt,call police to check on owner at home,call court and explain,ask friend to take over for him,miss appt,2.002,76.439,107.477,2,12,38,29,97,95,91,4,33,8,4,3,8,88,14,22,call for help ,alert police,take other dogs and competitor with her,stay until help arrives,leave them behind,20.321,20.321,69.966,1,98,92,93,93,85,86,44,89,89,61,3,5,41,1,1,,55,2,5,,3,8
