rowNo,type,stimFormat,condition1,condition2,ITI,random,randomBlock,responseType,head,required,responseOptions,pageName,pageBreak,ITI_ms,timestamp,response,RT,correct,responseCode,GMT_timestamp,local_timestamp,link,id,age,sex,education,handedness,completionCode
51,form,word,Eva,NA,NA,NA,9,box,Answer 1,1,NA,"You and your friend are on a mountain climbing trip in Arizona. In the middle of the longest day your friend slips and gets her arm trapped in a crevice. You try to call 911 but you have no service. The sun is beating down and you are worried that you might be getting dehydrated as you unsuccessfully try to get her arm out of the rock.<br><br>In this situation, what are some things you could do?",NA,NA,65844,go for help,38344,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
52,form,word,Eva,NA,NA,NA,9,box,Answer 2,1,NA,"You and your friend are on a mountain climbing trip in Arizona. In the middle of the longest day your friend slips and gets her arm trapped in a crevice. You try to call 911 but you have no service. The sun is beating down and you are worried that you might be getting dehydrated as you unsuccessfully try to get her arm out of the rock.<br><br>In this situation, what are some things you could do?",NA,NA,65844,climb higher for service,38344,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
53,form,word,Eva,NA,NA,NA,9,box,Answer 3,1,NA,"You and your friend are on a mountain climbing trip in Arizona. In the middle of the longest day your friend slips and gets her arm trapped in a crevice. You try to call 911 but you have no service. The sun is beating down and you are worried that you might be getting dehydrated as you unsuccessfully try to get her arm out of the rock.<br><br>In this situation, what are some things you could do?",NA,NA,65844,kill her,38344,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
54,form,word,Eva,NA,NA,NA,9,box,Answer 4,NA,NA,"You and your friend are on a mountain climbing trip in Arizona. In the middle of the longest day your friend slips and gets her arm trapped in a crevice. You try to call 911 but you have no service. The sun is beating down and you are worried that you might be getting dehydrated as you unsuccessfully try to get her arm out of the rock.<br><br>In this situation, what are some things you could do?",NA,NA,65844,NA,38344,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
55,form,word,Eva,NA,NA,NA,9,box,Answer 5,NA,NA,"You and your friend are on a mountain climbing trip in Arizona. In the middle of the longest day your friend slips and gets her arm trapped in a crevice. You try to call 911 but you have no service. The sun is beating down and you are worried that you might be getting dehydrated as you unsuccessfully try to get her arm out of the rock.<br><br>In this situation, what are some things you could do?",NA,NA,65844,NA,38344,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
56,form,word,Eva,NA,NA,NA,9,box,Answer 6,NA,NA,"You and your friend are on a mountain climbing trip in Arizona. In the middle of the longest day your friend slips and gets her arm trapped in a crevice. You try to call 911 but you have no service. The sun is beating down and you are worried that you might be getting dehydrated as you unsuccessfully try to get her arm out of the rock.<br><br>In this situation, what are some things you could do?",1,NA,65844,NA,38344,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
9,form,word,Brian,NA,NA,NA,2,box,Answer 1,1,NA,"You are the evening manager at a bakery. Near the end of the day, you realize that $50.75 is missing from the register and that you are responsible for accounting for the money at the end of the day. You know you have to make sure the register is balanced or the manager will make the entire staff work overtime to make up for it.<br><br>In this situation, what are some things you could do?",NA,NA,86537,pay it out of pocket,20182,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
10,form,word,Brian,NA,NA,NA,2,box,Answer 2,1,NA,"You are the evening manager at a bakery. Near the end of the day, you realize that $50.75 is missing from the register and that you are responsible for accounting for the money at the end of the day. You know you have to make sure the register is balanced or the manager will make the entire staff work overtime to make up for it.<br><br>In this situation, what are some things you could do?",NA,NA,86537,quit the job,20182,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
11,form,word,Brian,NA,NA,NA,2,box,Answer 3,1,NA,"You are the evening manager at a bakery. Near the end of the day, you realize that $50.75 is missing from the register and that you are responsible for accounting for the money at the end of the day. You know you have to make sure the register is balanced or the manager will make the entire staff work overtime to make up for it.<br><br>In this situation, what are some things you could do?",NA,NA,86537,report it,20182,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
12,form,word,Brian,NA,NA,NA,2,box,Answer 4,NA,NA,"You are the evening manager at a bakery. Near the end of the day, you realize that $50.75 is missing from the register and that you are responsible for accounting for the money at the end of the day. You know you have to make sure the register is balanced or the manager will make the entire staff work overtime to make up for it.<br><br>In this situation, what are some things you could do?",NA,NA,86537,NA,20182,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
