,vignette_name,generation_number,generation_time,response,reflection_score,id
0,scenario4,1,3.668,sleep,1.0,R_12rsaTqrSH1Qt91
1,scenario4,2,2.471,eat,1.0,R_12rsaTqrSH1Qt91
2,scenario4,3,2.672,read,1.0,R_12rsaTqrSH1Qt91
3,scenario4,4,5.778,watch a show,1.0,R_12rsaTqrSH1Qt91
4,scenario4,5,4.766,talk to someone,1.0,R_12rsaTqrSH1Qt91
5,scenario4,6,4.176,look out the window,1.0,R_12rsaTqrSH1Qt91
6,scenario4,7,9.236,stretch,1.0,R_12rsaTqrSH1Qt91
7,scenario4,8,3.229,think,1.0,R_12rsaTqrSH1Qt91
8,scenario5,1,6.211,have a snack,1.0,R_12rsaTqrSH1Qt91
9,scenario5,2,3.164,get a soda,1.0,R_12rsaTqrSH1Qt91
10,scenario5,3,3.398,take a walk,1.0,R_12rsaTqrSH1Qt91
11,scenario5,4,3.731,have coffee,1.0,R_12rsaTqrSH1Qt91
12,scenario5,5,3.349,review notes,1.0,R_12rsaTqrSH1Qt91
13,scenario5,6,2.699,make a call,1.0,R_12rsaTqrSH1Qt91
14,scenario5,7,4.506,listen to music,1.0,R_12rsaTqrSH1Qt91
15,scenario5,8,7.937,watch a video,1.0,R_12rsaTqrSH1Qt91
16,scenario6,1,2.182,listen,1.0,R_12rsaTqrSH1Qt91
17,scenario6,2,2.776,daydream,0.42857142857142855,R_12rsaTqrSH1Qt91
18,scenario6,3,1.802,nap,0.14285714285714285,R_12rsaTqrSH1Qt91
19,scenario6,4,3.309,pay attention,1.0,R_12rsaTqrSH1Qt91
20,scenario6,5,3.122,take notes,1.0,R_12rsaTqrSH1Qt91
21,scenario6,6,4.983,read something else,0.2857142857142857,R_12rsaTqrSH1Qt91
22,scenario6,7,3.159,look around,1.0,R_12rsaTqrSH1Qt91
23,scenario6,8,5.5,raise my hand,1.0,R_12rsaTqrSH1Qt91
24,scenario8,1,3.6,wait,1.0,R_12rsaTqrSH1Qt91
25,scenario8,2,2.998,stand still,1.0,R_12rsaTqrSH1Qt91
26,scenario8,3,4.304,talk to others,1.0,R_12rsaTqrSH1Qt91
27,scenario8,4,3.109,be quiet,1.0,R_12rsaTqrSH1Qt91
28,scenario8,5,6.11,push the button,1.0,R_12rsaTqrSH1Qt91
29,scenario8,6,3.573,look around,1.0,R_12rsaTqrSH1Qt91
30,scenario8,7,4.82,read the certificate,1.0,R_12rsaTqrSH1Qt91
31,scenario8,8,8.792,look at the numbers,1.0,R_12rsaTqrSH1Qt91
32,scenario3,1,3.372,Find a book.,1.0,R_1Apm0QuefchYqiZ
33,scenario3,2,6.619,Read a book.,1.0,R_1Apm0QuefchYqiZ
34,scenario3,3,4.24,Ask the librarian for help.,1.0,R_1Apm0QuefchYqiZ
35,scenario3,4,94.193,Check my phone.,1.0,R_1Apm0QuefchYqiZ
36,scenario3,5,13.075,Use the computer in the library.,1.0,R_1Apm0QuefchYqiZ
37,scenario3,6,65.83,Use a research book.,1.0,R_1Apm0QuefchYqiZ
38,scenario3,7,6.073,Say hello to a friend I see.,1.0,R_1Apm0QuefchYqiZ
39,scenario3,8,4.286,Use the bathroom.,1.0,R_1Apm0QuefchYqiZ
40,scenario5,1,3.944,Check my phone.,1.0,R_1Apm0QuefchYqiZ
41,scenario5,2,3.491,Get some water.,1.0,R_1Apm0QuefchYqiZ
42,scenario5,3,37.506,Respond to an email.,1.0,R_1Apm0QuefchYqiZ
43,scenario5,4,10.016,Get a snack from a vending machine.,1.0,R_1Apm0QuefchYqiZ
44,scenario5,5,13.422,Say hello to someone I know.,1.0,R_1Apm0QuefchYqiZ
45,scenario5,6,18.382,Stretch.,0.7142857142857143,R_1Apm0QuefchYqiZ
46,scenario5,7,79.015,Run to my car to get something I forgot.,1.0,R_1Apm0QuefchYqiZ
47,scenario5,8,10.1,Charge my phone.,1.0,R_1Apm0QuefchYqiZ
48,scenario7,1,7.674,Check my email on the computer.,1.0,R_1Apm0QuefchYqiZ
49,scenario7,2,7.897,Make coffee in the break room.,1.0,R_1Apm0QuefchYqiZ
50,scenario7,3,6.195,Use the bathroom.,1.0,R_1Apm0QuefchYqiZ
