,Males,,,,Females,
,6'2'',83.2,83.2,,"5'9""",91.4
,6'1'',83.1,83.1,,"5'6""",90
,5'11'',82.4,82.4,,"5'9""",88.7
,6'1'',82,82,,5'8'',86.8
,5'10'',81.8,81.8,,"5'9""",84.9
,5'11',0.817,81.7,,"5'10""",83
,6'2'',0.815,81.5,,"5'6""",82
,5'8'',0.798,79.8,,"5'5""",81.8
,6'1'',0.774,77.4,,"5'6""",81
,6'3'',0.769,76.9,,"5'7""",80.2
,6'3'',0.765,76.5,,"5'9""",80
,5'11',0.762,76.2,,"6'2""",79.5
,5'11,0.76,76,,"6'2""",79
,6'1'',0.754,75.4,,"5'9""",77
,6'2'',0.748,74.8,,"6'1""",75.5
,5'11',0.748,74.8,,"5'7""",75.4
,6'2'',0.742,74.2,,"5'8""",74.4
,5'7'',0.739,73.9,,"5'8""",72.8
,6'0,0.731,73.1,,"6'0""",72.2
,6'0'',0.72,72,,"5'7""",71.8
,6'4'',0.719,71.9,,"5'8""",71.8
,"6'6""",0.717,71.7,,"5'8""",71.3
,"6'0""",0.714,71.4,,"5'10""",70.6
,"6'1""",0.713,71.3,,"5'9""",70.6
,"5'10""",0.712,71.2,,"5'6""",70.3
,"5'10""",0.709,70.9,,"6'0""",69.8
,"5'10""",0.702,70.2,,"6'0""",69.3
,"6'0""",0.698,69.8,,"5'9""",69.3
,"5'11""",0.696,69.6,,"5'10""",69.2
,"5'7""",0.696,69.6,,"5'8""",68.8
,"6'4""",0.696,69.6,,"5'5""",68.5
,"6'0""",0.691,69.1,,"6'0""",68.1
,"6'6""",0.687,68.7,,"5'11""",67.8
,"6'4""",0.686,68.6,,"6'2""",66.7
,"5'9""",0.683,68.3,,"5'8""",66.1
,"6'2""",0.683,68.3,,"5'9""",65.8
,"6'6""",0.683,68.3,,"5'8""",65
,"6'3""",0.682,68.2,,"5'3""",64.7
,"6'1""",0.681,68.1,,"6'1""",64.7
,"6'0""",0.68,68,,"5'5""",64.5
,"5'9""",0.68,68,,"5'6""",64.5
,"6'5""",0.68,68,,"5'10""",63.8
,"6'0""",0.672,67.2,,"5'11""",63.6
,"5'10""",0.671,67.1,,"5'10""",63.5
,"5'9""",0.671,67.1,,"5'7""",63.2
,"6'0""",0.669,66.9,,"5'2""",62.8
,"6'4""",0.669,66.9,,"5'5""",62.4
,"6'2""",0.668,66.8,,"5'11""",62.1
,"6'3""",0.666,66.6,,"5'8""",61.5
,"6'0""",0.666,66.6,,"5'6""",60.9
,"5'11""",0.666,66.6,,"5'8""",60.8
,"5'10""",0.664,66.4,,"5'4""",60.7
,"5'9""",0.661,66.1,,"6'0""",60.7
,"6'4""",0.66,66,,"5'7""",60.6
,"6'1""",0.659,65.9,,"5'10""",60.6
,"5'9""",0.657,65.7,,"5'6""",60
,"6'5""",0.652,65.2,,"5'4""",59.9
,"6'5""",0.652,65.2,,"5'9""",59.7
,"6'1""",0.652,65.2,,"5'11""",59.4
,"5'10""",0.651,65.1,,"5'6""",59.1
,"6'1""",0.651,65.1,,"5'11""",59.1
,"6'2""",0.651,65.1,,"5'10""",59
,"5'10""",0.649,64.9,,"5'10""",58.4
,"5'10""",0.648,64.8,,"5'5""",58.1
,"6'0""",0.647,64.7,,"5'11""",57.9
,"6'3""",0.647,64.7,,"5'11""",57.9
,"6'0""",0.646,64.6,,"5'5""",57.8
,"6'4""",0.646,64.6,,"5'5""",57.8
,"6'6""",0.645,64.5,,"5'7""",57.7
,"6'1""",0.644,64.4,,"5'5""",57.5
,6'4'',0.643,64.3,,"5'9""",57.5
,"6'3""",0.643,64.3,,"5'10""",57.4
,"6'1""",0.643,64.3,,"5'10""",57.3
,"5'9""",0.639,63.9,,"5'9""",57.2
,"5'10""",0.638,63.8,,"5'6""",57
,"5'11""",0.638,63.8,,"5'10""",56.9
,"6'6""",0.637,63.7,,"5'9""",56.5
,"5'6""",0.633,63.3,,"5'5""",56.4
,"6'0""",0.633,63.3,,"5'1""",56.4
,"6'4""",0.633,63.3,,"5'5""",56.2
,"6'2""",0.633,63.3,,"5'9""",56.2
,"6'0""",0.631,63.1,,"5'8""",55.9
,"5'9""",0.629,62.9,,"5'8""",55.7
,"6'0""",0.628,62.8,,"5'5""",55.6
,"6'2""",0.627,62.7,,"5'8""",55.2
,"6'3""",0.627,62.7,,"5'7""",55.2
,"5'10""",0.627,62.7,,"5'6""",55
,"6'3""",0.627,62.7,,"5'8""",54.7
,"6'0""",0.625,62.5,,"5'7""",54.6
,"6'2""",0.625,62.5,,"5'9""",54.3
,"6'2""",0.623,62.3,,"5'5""",54.3
,"6'3""",0.623,62.3,,"6'0""",54.1
,"6'0""",0.622,62.2,,"5'11""",54.1
,"6'0""",0.62,62,,"5'5""",54
,"6'1""",0.62,62,,"5'4""",54
,"6'4""",0.62,62,,"5'5""",53.5
,"6'2""",0.619,61.9,,"5'9""",52.8
,"6'4""",0.618,61.8,,"5'6""",51.9
,"6'10""",0.617,61.7,,"5'7""",51.6
,"6'0""",0.617,61.7,,"5'9""",51.6
