StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,S1-FR_4,S1-FR_5,S1-FR_6,S1-FR_7,S1-FR_8,S1FRtime_First Click,S1FRtime_Last Click,S1FRtime_Page Submit,S1FRtime_Click Count,S1A1_7,S1A1_8,S1A1_9,S1A2_7,S1A2_8,S1A2_9,S1A3_7,S1A3_8,S1A3_9,S1A4_7,S1A4_8,S1A4_9,S1A5_7,S1A5_8,S1A5_9,S2-FR_4,S2-FR_5,S2-FR_6,S2-FR_7,S2-FR_8,S2FRtime_First Click,S2FRtime_Last Click,S2FRtime_Page Submit,S2FRtime_Click Count,S2A1_4,S2A1_5,S2A1_6,S2A2_4,S2A2_5,S2A2_6,S2A3_4,S2A3_5,S2A3_6,S2A4_4,S2A4_5,S2A4_6,S2A5_4,S2A5_5,S2A5_6,S3-FR_4,S3-FR_5,S3-FR_6,S3-FR_7,S3-FR_8,S3FRtime_First Click,S3FRtime_Last Click,S3FRtime_Page Submit,S3FRtime_Click Count,S3A1_4,S3A1_5,S3A1_6,S3A2_4,S3A2_5,S3A2_6,S3A3_4,S3A3_5,S3A3_6,S3A4_4,S3A4_5,S3A4_6,S3A5_4,S3A5_5,S3A5_6,S4-FR_4,S4-FR_5,S4-FR_6,S4-FR_7,S4-FR_8,S4FRtime_First Click,S4FRtime_Last Click,S4FRtime_Page Submit,S4FRtime_Click Count,S4A1_4,S4A1_5,S4A1_6,S4A2_4,S4A2_5,S4A2_6,S4A3_4,S4A3_5,S4A3_6,S4A4_4,S4A4_5,S4A4_6,S4A5_4,S4A5_5,S4A5_6,S5-FR_4,S5-FR_5,S5-FR_6,S5-FR_7,S5-FR_8,S5FRtime_First Click,S5FRtime_Last Click,S5FRtime_Page Submit,S5FRtime_Click Count,S5A1_4,S5A1_5,S5A1_6,S5A2_4,S5A2_5,S5A2_6,S5A3_4,S5A3_5,S5A3_6,S5A4_4,S5A4_5,S5A4_6,S5A5_4,S5A5_5,S5A5_6,S6-FR_4,S6-FR_5,S6-FR_6,S6-FR_7,S6-FR_8,S6FRtime_First Click,S6FRtime_Last Click,S6FRtime_Page Submit,S6FRtime_Click Count,S6A1_4,S6A1_5,S6A1_6,S6A2_4,S6A2_5,S6A2_6,S6A3_4,S6A3_5,S6A3_6,S6A4_4,S6A4_5,S6A4_6,S6A5_4,S6A5_5,S6A5_6,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,FL_11_DO_Scenario1,FL_11_DO_Scenario2,FL_11_DO_Scenario3,FL_11_DO_Scenario4,FL_11_DO_Scenario5,FL_11_DO_Scenario6
8/21/2020 13:58,8/21/2020 14:05,0,,100,412,1,8/21/2020 14:05,R_3gRfLr947gRs8cb,,,,,,,anonymous,EN,BUY HIM A TICKET,IGNORE HIM,GO TO THE CONCERT WITH HER OTHER FRIENDS,TELL HIM TO BUY ANOTHER TICKET,GO HOME WITH HIM,18.46,18.46,51.993,1,10,99,53,1,1,1,78,91,91,100,100,100,9,100,100,YELL AT THE CHILD,ASK THE CHILD WHAT HE IS DOING,IGNORE THEM,SWIM HER HER CHILDREN,PACK UP AND LEAVE,0.826,0.826,25.22,1,2,53,51,100,100,100,1,55,53,56,79,79,52,99,99,PULL OVER AND WAIT,PASS HIM,CALL THE POLICE,DO NOTHING,TAKE A TURN,0.976,0.976,18.78,1,13,100,13,39,89,89,44,100,100,23,32,33,87,99,100,GIVE HER A RIDE,IGNORE HER,CALL HER A TAXI,ASK FOR MONEY,ASK FOR A DATE,1.034,1.034,20.609,1,23,20,22,74,98,97,1,100,99,1,1,1,1,1,1,CALL THE POLICE,SEE IF THE DOOR IS UNLOCKED,NOTHING,SMASH THE WINDOW,YELL FOR HELP,1.407,1.407,20.693,1,50,97,98,56,83,84,18,1,1,10,32,13,28,69,52,THROW OUT THE KNIFE,TELL THE SECURITY HE HAS IT,PRETEND LIKE HE FORGOT IT,IGNORE IT,HAVE IT TAKEN AWAY,2.347,3.234,23.049,2,92,100,100,41,99,100,50,63,63,8,5,7,17,60,81,,46,1,5,,5,6,3,6,4,5,2,1
8/21/2020 13:59,8/21/2020 14:06,0,,100,441,1,8/21/2020 14:06,R_1DOmwhMvrUPLxnk,,,,,,,anonymous,EN,cancel,go back,cry,sneak in,lie,0.876,22.265,24.483,5,69,86,86,88,91,91,11,57,56,0,0,0,1,1,1,tell someone,confront,nothing,ask questions,watch longer,1.357,30.423,37.139,5,100,100,100,67,81,83,36,22,24,67,81,80,53,56,58,call cops,nothing,confront,follow,write down plate number,1.589,65.667,74.428,5,89,92,93,43,51,51,62,62,65,57,65,66,50,62,57,refuse,accept,make excuse,ignore,pretend to be deaf,1.115,25.317,32.242,5,73,100,100,17,94,51,69,91,92,28,87,89,14,71,53,call help,break window,wait,do nothing,tell store employee,1.258,24.2,32.583,5,100,100,100,61,99,84,43,34,34,2,1,1,39,84,86,tell truth,lie,conceal,attack,pretend he did not know,1.484,29.064,42.152,5,100,100,100,10,10,12,16,10,10,0,0,0,38,51,62,,39,1,5,,5,6,5,4,6,1,3,2
8/21/2020 13:58,8/21/2020 14:07,0,,100,569,1,8/21/2020 14:07,R_1ml4kBWSsH9lFWk,,,,,,,anonymous,EN,take him back to get his ticket,see if he could buy another ticket,see if he has proof of buying it on his phone to show an usher,leave him,try to sneak him in,1.892,2.092,65.208,2,51,100,48,73,100,100,51,100,77,0,0,0,6,0,0,watch him,make sure he doesn't steal anything,go in the water and tell the family,try to wave the family in,say hi to him to let him know you're watching,3.285,11.964,63.361,4,100,100,100,100,100,100,51,100,100,52,100,50,29,100,72,call 911,call the police,follow him,flash his lights,honk at him,4.491,5.585,33.423,2,100,100,100,100,100,100,100,100,100,67,100,69,30,52,32,say no,say yes,tell her he's not going that way,tell her he doesn't pick up strangers,tell her he'll carry her partly there,1.658,38.13,38.455,4,51,100,100,50,100,82,50,52,67,50,100,100,25,100,56,call the police,see the the door is unlocked,try to locate the owner of the car,break a window of the car,call the fire department,1.351,39.631,50.515,5,100,100,100,100,100,100,100,100,100,20,72,50,100,100,100,let the security know before they search him,take it back outside,see if he can put it in his luggage,throw it away,explain the situation to security,1.618,1.618,60.703,1,100,100,100,52,100,100,51,100,65,12,100,25,100,100,100,,35,2,5,,6,5,3,2,1,5,6,4
8/21/2020 13:58,8/21/2020 14:08,0,,100,610,1,8/21/2020 14:08,R_27Um3nbspJo7pnb,,,,,,,anonymous,EN,call mom,call dad,call a friend,call my brother,call my sister,13.591,35.61,40.205,7,40,28,38,50,33,44,38,27,38,36,34,40,52,42,49,call the police,call 911,yell,lough,tell the other persons,11.814,73.146,76.677,11,50,38,54,59,41,49,51,35,46,46,55,45,60,43,60,stop the car,repair the car,park the car,get some help,call home,5.956,73.199,77.978,11,76,48,60,56,32,45,35,53,36,47,31,41,48,58,43,talk with her,ride the girl,call home,call a friend,call dad,3.23,63.158,69.501,8,51,38,47,54,68,54,48,35,49,51,60,50,43,35,42,break the window,yell outside,take the dog outside,call the police,call 911,1.963,34.945,39.031,6,61,38,59,49,33,47,45,63,54,61,51,64,56,47,55,change the knife,call home,call to the airport,call the company,call mom,2.287,40.188,43.789,7,45,33,42,57,45,53,40,31,44,56,73,65,52,42,50,,42,1,5,,5,6,6,2,1,5,3,4
8/21/2020 13:59,8/21/2020 14:08,0,,100,560,1,8/21/2020 14:08,R_3LcGndcyK4Pzjof,,,,,,,anonymous,EN,Steal a ticket,Go home sad,Tell security you lost your ticket,Buy another ticket,Take your friend's ticket,0.465,39.1,39.469,2,24,11,32,85,38,75,90,80,75,78,82,88,29,21,38,Question the teen,Tell the teen to stop that,Ignore the teen,Walk away,Tell the teen's parents,0.52,34.328,35.913,2,17,76,31,65,83,70,88,26,73,79,21,82,40,82,35,Get off the road,Call the cops,Go somewhere else,Get away from the person,Pull over,0.852,18.207,138.694,2,73,88,81,100,100,100,75,36,80,85,71,82,86,38,93,Take her for a ride,Give her money,Refuse to give her a ride,Ignore her,Walk away,1.087,1.087,42.437,1,37,57,38,34,79,48,84,21,77,86,24,78,61,10,69,Break the windows,Call the cops,Try to unlock the car by picking the locks,Call security,Complain to a friend,0.454,27.444,27.782,3,31,81,37,100,100,100,21,42,29,100,100,100,28,48,22,Mail it back to his address,Tell the security staff honestly,Give it to a friend,Give it to security to hold,Trash it in the garbage can,0.456,47.054,59.395,7,78,68,73,29,100,35,30,87,42,86,93,56,23,32,22,,37,2,5,,5,5,6,3,1,2,5,4
8/21/2020 13:59,8/21/2020 14:08,0,,100,538,1,8/21/2020 14:08,R_3lRXXdomzk4h8Rb,,,,,,,anonymous,EN,Miss some of the concert to go get the ticket.,Sneak inside without the ticket.,Ask someone if they wouldn't mind going get it for him.,Not attend the concert at all.,Buy another ticket to get in.,0.637,56.289,59.856,13,26,91,76,43,54,42,18,63,33,0,18,10,7,100,46,She can mind her own business.,She can watch carefully to see if the person leaves with any belongings.,She could say hello to the person and see if they act spooked.,She could scream at the family just in case.,"She could simply ask ""is that your stuff?""",1.918,35.222,71.409,21,82,72,100,100,100,100,55,100,85,11,30,16,38,45,66,Make sure to stay away from the driver.,Hunk and try to get the person to pull over.,Write down their license place and call the cops.,Call the cops and follow the car around until someone can pull them over.,Do nothing and drive normally.,0.539,38.81,42.859,19,100,100,100,50,55,45,77,100,65,18,100,36,82,90,100,Say yes and give her a ride.,Say no and lie about where he's going.,Tell her that he's not comfortable driving around strangers and that he's sorry.,Ask for her to pay for the ride.,Tell her he can drop her off 10 miles before her destination.,6.805,7.274,52.16,2,34,100,100,71,61,63,43,89,94,29,86,60,10,43,28,Do nothing and leave the dog.,Call the cops to help get the dog out.,Look for the owner and tell them to let the dog out.,Break the window to save the dog.,Keep an eye on the dog and wait for the owner to come out.,0.948,1.173,38.821,2,8,4,5,100,100,100,43,72,78,57,88,100,7,36,44,Hope it doesn't get noticed and go through.,Go through anyhow and if it gets notices leave it behind.,Let them know ahead of time he has the knife.,Sneak it through somehow.,Not board the plane because he doesn't want to leave the knife.,12.377,58.853,63.005,14,42,26,38,64,75,72,71,100,100,0,14,0,0,27,4,,32,1,5,,2,7,6,1,2,3,4,5
8/21/2020 14:01,8/21/2020 14:08,0,,100,435,1,8/21/2020 14:08,R_3NK9fBCsdC3kmwr,,,,,,,anonymous,EN,give away the ticket,go back home with him,tell him sorry,try to scalp a ticket,steal a ticket,9.881,44.229,44.57,8,56,81,61,59,76,68,66,37,45,55,27,57,19,9,10,nothing,call the police,ask others what they think,yell to the family,yell at the teenager,11.111,26.97,34.911,6,60,20,58,24,72,67,58,83,83,40,79,69,26,58,37,go another way,try to get them to stop,call the police,wreck into their car,keep driving at distance,5.822,21.844,34.595,5,42,20,25,55,80,76,69,86,88,19,10,11,73,37,74,tell her no,give her money,call another ride for her,call the police,give her a ride,6.519,30.537,30.96,6,75,52,88,68,86,76,25,84,63,18,40,56,29,74,46,try to break in,wait until the owner comes out,call the police,ignore the dog,yell for help,5.345,24.018,27.336,6,26,67,57,30,39,61,59,86,80,22,12,21,71,86,87,throw away the knife,come clean,try to sneak the knife,pretend its not his,give it away,6.507,32.081,36.811,5,74,81,81,65,82,84,69,32,49,37,17,22,55,31,42,,23,2,5,,5,5,5,1,3,2,4,6
8/21/2020 13:58,8/21/2020 14:10,0,,100,676,1,8/21/2020 14:10,R_RPNgZWputI5uhxf,,,,,,,anonymous,EN,Return to the house and get the ticket,Sneak in via back door,Sit outside and listen to the concert,Have friends cause a commotion and sneak in,Go home and miss the whole concert,3.788,54.936,61.203,2,41,87,83,15,10,7,51,81,92,39,35,31,25,93,75,Get the family's attention and point to the teen,Walk up to the teen and confront them,Ignore the teen,Scream at the teen,Ask the teen what they're doing,1.104,67.758,73.299,7,84,91,87,64,84,81,54,62,62,26,48,35,48,67,62,Call the police,Drive around him and get far away as possible,Honk at him,Run him off the road,Hit him before he is able to hit anyone else,1.591,53.917,64.571,3,92,88,90,79,70,87,81,88,87,21,42,28,13,28,7,Give the woman a ride,Ignore her,Ask someone else nearby to give her a ride,Spray gas on her to make her go away,Call her a ride with a cab,1.509,1.509,43.172,1,35,89,81,56,16,64,62,57,62,8,5,5,62,83,83,Break the glass to save the dog,Call the police,Go into the mall and have them make an announcement for the owner,Walk away,Try to open the doors of the car to save the dog,1.343,29.7,44.201,5,33,67,45,87,82,86,66,93,90,54,20,29,68,38,42,Toss the chef's knife into the garbage,Try to get his checked bag back and put it in there,Stay cool and try to get it past security,Be open/tell security about it before it goes through the x-ray,Conceal it as best as possible in his bag,1.703,75.092,86.078,4,61,94,86,66,92,90,40,34,51,46,88,48,54,17,61,,27,2,5,,7,3,6,5,4,3,2,1
8/21/2020 13:58,8/21/2020 14:10,0,,100,709,1,8/21/2020 14:10,R_3p9WDu0LvFvfxQI,,,,,,,anonymous,EN,buy him a new ticket,go in without him,go with him to get his ticket,cancel going to the concert and do something else,wait outside while he retrieves his ticket,11.69,11.69,73.766,1,23,89,44,44,82,58,25,87,40,9,90,15,5,88,16,tell him to stop,alert family,ignore it,ask who he is,call police,1.295,1.295,29.176,1,50,85,69,38,92,70,87,81,73,46,94,69,12,65,43,slow down and let him get away,pass him,call police,ignore it,get driver's attention,1.513,1.513,38.314,1,30,38,72,15,27,24,31,96,54,70,44,80,15,89,28,say no,take her part way,take her all the way,ignore her ,make an excuse,1.476,1.476,33.017,1,93,97,89,7,95,36,20,96,47,56,68,74,71,62,81,ignore it,call police,call fire dept,break window,call locksmith,6.384,12.272,35.375,2,61,28,42,36,91,80,60,95,85,21,64,58,21,86,40,throw it away,mail it home,ask to take it,rent locker,take it home,1.596,1.596,29.393,1,9,98,25,26,98,65,13,86,74,40,98,90,20,98,81,,51,1,5,,5,3,1,4,2,3,5,6
8/21/2020 13:59,8/21/2020 14:10,0,,100,666,1,8/21/2020 14:10,R_vOD1fNRwespch45,,,,,,,anonymous,EN,Give Ted her ticket,Go to Ted's house for a house party,Tell Ted they can still make the end of the show,Leave Ted outside,Go do something besides the concert,10.462,10.462,57.938,1,15,100,50,35,100,65,70,95,100,25,50,75,65,100,100,Wave at the teenager,Go tell the parents,Look around for a lifeguard or authority figure,Ignore them,Relocate to a different spot out of sight,0.849,0.849,49.4,1,60,100,65,95,100,100,100,100,100,50,25,50,14,25,25,Call 911,Flash his bright lights,Honk horn,Slow down and call for help,Stop somewhere and let the driver keep going,1.674,66.508,68.919,6,80,100,100,95,100,100,95,100,100,80,100,100,66,45,75,Give the woman a ride,Make up an excuse/story to say no,Tell her no directly,Apologize and say he can't help,Ignore her,1.493,1.493,54.707,1,20,100,25,85,50,100,70,50,90,90,55,100,10,25,25,Call an animal department,Call the police department,Go inside the mall and find someone to make an announcement,Break a window,Leave and forget about it,1.101,10.581,47.166,3,95,100,100,81,100,100,85,100,100,10,50,10,30,10,50,Tell security he accidentally brought a knife,Get some sort of document ready to show he's a chef,Don't say anything,Tell security about the knife and ask them to check his bag,Leave the airport,1.328,1.328,73.33,1,100,100,100,50,100,90,1,0,0,15,100,51,1,1,0,,33,1,5,,4,9,1,5,2,4,3,6
