,Exploration,Generation Number
0,394.7140546841857,1.0
1,373.36849056351866,2.0
2,381.87723235424113,3.0
3,359.3941428132141,4.0
4,352.210016288708,5.0
5,359.60106054188856,6.0
6,446.61795042832125,1.0
7,408.1973426763626,2.0
8,385.3841198087537,3.0
9,383.0079384079419,4.0
10,374.22347279513025,5.0
11,387.1062788086158,6.0
12,406.3800907150644,1.0
13,365.8796236776697,2.0
14,399.5207496901949,3.0
15,407.0056818175605,4.0
16,394.15989572094907,5.0
17,396.94683992762793,6.0
18,403.3232821418823,1.0
19,427.9509364884724,2.0
20,442.5781788201712,3.0
21,424.79089996767874,4.0
22,429.37247916320075,5.0
23,389.85593920950566,6.0
24,339.88326941117276,1.0
25,346.8414520515681,2.0
26,358.08334919673297,3.0
27,339.538039999048,4.0
28,334.10758137161935,5.0
29,368.73591144122975,6.0
30,435.46974953796695,1.0
31,424.8876674839767,2.0
32,427.1997480230849,3.0
33,437.22818426707,4.0
34,410.06496154438224,5.0
35,442.43668497132563,6.0
36,465.97530769157976,1.0
37,398.7452523042303,2.0
38,385.0070269704578,3.0
39,390.87844095887294,4.0
40,388.7304715752387,5.0
41,392.0350729015144,6.0
42,401.4670189393076,1.0
43,376.44369887704806,2.0
44,374.9948179888792,3.0
45,364.00584678089854,4.0
46,382.4489382917395,5.0
47,368.5430784157645,6.0
48,366.63433472401005,1.0
49,387.68076025234865,2.0
50,405.91750018918714,3.0
51,391.20234152395483,4.0
52,407.5748125425722,5.0
53,364.60402190034756,6.0
54,384.2088688487186,1.0
55,381.80115528850246,2.0
56,390.85315455376343,3.0
57,389.7520735251893,4.0
58,361.5396423399411,5.0
59,374.2091315742199,6.0
60,414.5058465309089,1.0
61,427.2048685078216,2.0
62,386.17877560695644,3.0
63,408.420209217756,4.0
64,423.3964140361909,5.0
65,427.67471902514274,6.0
66,412.62332437208306,1.0
67,415.9594717696207,2.0
68,426.58937236543005,3.0
69,391.4085050591607,4.0
70,385.5452994893346,5.0
71,369.48971415519804,6.0
72,324.5979811679574,1.0
73,316.1577627095264,2.0
74,336.8699388196175,3.0
75,330.42522379676683,4.0
76,345.5654875449124,5.0
77,300.88190042914755,6.0
78,439.34517787581194,1.0
79,419.9101601086883,2.0
80,402.68006599501444,3.0
81,397.9148106308223,4.0
82,421.61571072946106,5.0
83,438.832276747851,6.0
84,399.98415204868957,1.0
85,438.6680773092246,2.0
86,407.38780398366623,3.0
87,384.28034135573535,4.0
88,415.8064675177976,5.0
89,433.1576497258817,6.0
90,439.2253064011508,1.0
91,459.02724844527063,2.0
92,442.86470692769745,3.0
93,434.20820471794553,4.0
94,442.3796202543628,5.0
95,430.657068719484,6.0
96,431.9633994149761,1.0
97,418.705356793633,2.0
98,407.787456797245,3.0
99,432.1858344224644,4.0
100,426.2951363499432,5.0
101,403.3512955226184,6.0
102,384.5376139739182,1.0
103,425.639419424539,2.0
104,385.53751750679976,3.0
105,397.7001098530887,4.0
106,359.74040052676935,5.0
107,362.9091115183104,6.0
108,440.1331025405241,1.0
109,416.46702959880963,2.0
110,392.8792689937122,3.0
111,420.46586788783276,4.0
112,406.4570966471044,5.0
113,383.492308623523,6.0
114,406.37344476742294,1.0
115,422.8083936649218,2.0
116,426.07579009886535,3.0
117,417.0441166951234,4.0
118,423.5845396874075,5.0
119,429.68929125814327,6.0
120,1617.8682152347608,1.0
121,1536.1004820369465,2.0
122,1662.246011151253,3.0
123,1699.6314501329323,4.0
124,1658.7404502187378,5.0
125,1576.5889713901774,6.0
126,390.12578501578355,1.0
127,400.515703410457,2.0
128,389.86150801972025,3.0
129,431.65685242823463,4.0
130,427.9285955300225,5.0
131,452.3765002911654,6.0
132,407.582553870331,1.0
133,403.62164765938303,2.0
134,372.87875966101836,3.0
135,433.91254832529387,4.0
136,428.7089226218272,5.0
137,358.75237699195645,6.0
138,366.92475468857884,1.0
139,356.6394580912116,2.0
140,378.95391155112634,3.0
141,375.2424973548931,4.0
142,385.0475636054927,5.0
143,392.80223437286855,6.0
144,415.66871541729427,1.0
145,384.5904794707793,2.0
146,452.66697931119944,3.0
147,403.0898359995755,4.0
148,403.4853527658928,5.0
149,427.928626172859,6.0
150,410.51188703906075,1.0
151,336.29641732913694,2.0
152,363.3125586578673,3.0
153,421.111948858893,4.0
154,382.0658381016517,5.0
155,361.53891886814426,6.0
156,381.66755429000597,1.0
157,359.5091185749168,2.0
158,369.8386325067042,3.0
159,361.1118155454428,4.0
160,356.3204601805332,5.0
161,362.6304957316953,6.0
162,424.3716501803554,1.0
163,417.38179720712736,2.0
164,422.9640849310675,3.0
165,427.1196765799916,4.0
166,427.17985175893847,5.0
167,436.3690747786671,6.0
168,0.0,1.0
169,0.0,2.0
170,0.0,3.0
171,0.0,4.0
172,0.0,5.0
173,0.0,6.0
174,357.55437760021766,1.0
175,332.7194738050665,2.0
176,321.5983113141979,3.0
177,388.674255844142,4.0
178,348.6141418935346,5.0
179,340.09162834559095,6.0
180,384.8239005434041,1.0
181,389.2955284665035,2.0
182,408.28785675349803,3.0
183,359.0046914090578,4.0
184,349.11522653323885,5.0
185,397.0234498469519,6.0
186,394.4084895010435,1.0
187,400.19318001226566,2.0
188,419.74233015852957,3.0
189,402.50036097855,4.0
190,371.08679662527646,5.0
191,376.9970564339062,6.0
192,388.6540025511664,1.0
193,399.0231854032037,2.0
194,379.1847831423837,3.0
195,383.9830257119896,4.0
196,405.3637195190895,5.0
197,379.4048895971108,6.0
198,412.4815688219713,1.0
199,391.5558670910365,2.0
200,401.31996768662606,3.0
201,376.6368909185904,4.0
202,359.0001249241735,5.0
203,370.4695699418195,6.0
204,372.11317236441096,1.0
205,342.99792343400406,2.0
206,363.94758520148014,3.0
207,358.758575082575,4.0
208,380.0065122339963,5.0
209,364.27920636992286,6.0
210,427.28104660908593,1.0
211,412.56643518866707,2.0
212,387.68594966400934,3.0
213,393.4093945232116,4.0
214,394.44034293148303,5.0
215,388.4712556360142,6.0
216,420.97621158757426,1.0
217,400.6053019403883,2.0
218,402.61904531482173,3.0
219,412.5330485394294,4.0
220,403.86084937943747,5.0
221,446.51639291525953,6.0
222,413.08322486839404,1.0
223,407.0133074978932,2.0
224,417.80213443220555,3.0
225,460.1672456275429,4.0
226,436.13053553132755,5.0
227,407.218572145029,6.0
228,400.31695433306334,1.0
229,405.8992120285142,2.0
230,376.51458891802207,3.0
231,388.9497953514731,4.0
232,382.05301864042565,5.0
233,373.51338233705354,6.0
234,409.8733370857273,1.0
235,381.5514568316241,2.0
236,409.88100180772665,3.0
237,392.1682248529297,4.0
238,391.2381454049701,5.0
239,410.1567410921465,6.0
240,364.8811974317775,1.0
241,370.71563717574776,2.0
242,407.10577019380656,3.0
243,389.8648885095045,4.0
244,381.895832906485,5.0
245,387.07276183478695,6.0
246,416.5133550840511,1.0
247,435.4853377243877,2.0
248,416.71980573513383,3.0
249,386.9966161876246,4.0
250,425.07078051980795,5.0
251,413.3466472029576,6.0
252,423.6203348693829,1.0
253,436.48330742335156,2.0
254,425.1971446790195,3.0
255,415.39287643302885,4.0
256,435.77155233827165,5.0
257,482.573553216161,6.0
258,426.39492367572586,1.0
259,400.829203447953,2.0
260,435.3904106466843,3.0
261,432.2476959616553,4.0
262,427.95304104514264,5.0
263,421.2658392641646,6.0
264,354.92109559334125,1.0
265,338.0003625626414,2.0
266,378.67040670974706,3.0
267,376.7152128580505,4.0
268,358.0980234610401,5.0
269,354.34688854359666,6.0
270,419.3440170675246,1.0
271,433.9963083937461,2.0
272,434.7618129529598,3.0
273,409.2666118556785,4.0
274,405.34329470148305,5.0
275,410.85885436884405,6.0
276,348.05635191924586,1.0
277,336.000642348924,2.0
278,303.0632113637308,3.0
279,345.4586985508583,4.0
280,350.91505781633566,5.0
281,342.08468422417707,6.0
282,364.9473791463795,1.0
283,419.28487563695,2.0
284,362.60566814799387,3.0
285,397.4542716664625,4.0
286,388.0726114659693,5.0
287,371.0602535608653,6.0
288,443.25753104923905,1.0
289,465.1077061595332,2.0
290,449.43571215755435,3.0
291,467.2183636392829,4.0
292,455.0522576459325,5.0
293,451.8654401540018,6.0
294,376.309903127512,1.0
295,397.3758972665175,2.0
296,364.12505173902537,3.0
297,372.18802519501355,4.0
298,345.83341936652795,5.0
299,361.5961405936988,6.0
300,397.7219169238557,1.0
