,goodness,generation number
0,7,1
1,7,1
2,7,1
3,7,1
4,7,1
5,7,1
6,3,1
7,7,1
8,7,1
9,7,1
10,7,1
11,6,1
12,7,1
13,7,1
14,7,1
15,7,1
16,7,1
17,7,1
18,7,1
19,7,1
20,7,1
21,7,1
22,7,1
23,6,1
24,7,1
25,1,1
26,7,1
27,4,1
28,7,1
29,7,1
30,2,1
31,7,1
32,7,1
33,7,1
34,6,1
35,7,1
36,7,1
37,3,1
38,7,1
39,6,1
40,6,1
41,7,1
42,7,1
43,7,1
44,7,1
45,5,1
46,7,1
47,7,1
48,7,1
49,5,1
50,7,1
51,7,1
52,7,1
53,7,1
54,7,1
55,7,1
56,7,1
57,7,1
58,7,1
59,7,1
60,6,1
61,4,1
62,7,1
63,7,1
64,7,1
65,7,1
66,7,1
67,7,1
68,5,1
69,7,1
70,7,1
71,7,1
72,7,1
73,7,1
74,7,1
75,7,1
76,6,1
77,7,1
78,7,1
79,7,1
80,7,1
81,7,1
82,6,1
83,7,1
84,7,1
85,7,1
86,7,1
87,7,1
88,7,1
89,7,1
90,7,1
91,6,1
92,6,1
93,5,1
94,7,1
95,7,1
96,7,1
97,7,1
98,6,1
99,7,1
100,7,1
101,7,1
102,7,1
103,7,1
104,6,1
105,7,1
106,7,1
107,7,1
108,7,1
109,7,1
110,7,1
111,7,1
112,6,1
113,7,1
114,7,1
115,7,1
116,7,1
117,7,1
118,7,1
119,7,1
120,7,1
121,7,1
122,7,1
123,7,1
124,6,1
125,7,1
126,6,1
127,7,1
128,7,1
129,7,1
130,7,1
131,7,1
132,6,1
133,7,1
134,1,1
135,7,1
136,7,1
137,7,1
138,7,1
139,7,1
140,7,1
141,7,1
142,7,1
143,7,1
144,7,1
145,7,1
146,7,1
147,7,1
148,7,1
149,7,1
150,7,1
151,7,1
152,7,1
153,7,1
154,7,1
155,7,1
156,7,1
157,7,1
158,7,1
159,7,1
160,7,1
161,7,1
162,6,1
163,7,1
164,7,1
165,7,1
166,7,1
167,7,1
168,7,1
169,7,1
170,7,1
171,7,1
172,6,1
173,7,1
174,7,1
175,7,1
176,7,1
177,7,1
178,7,1
179,6,1
180,7,1
181,6,1
182,6,1
183,7,1
184,7,1
185,7,1
186,7,1
187,7,1
188,7,1
189,7,1
190,7,1
191,7,1
192,6,1
193,7,1
194,6,1
195,7,1
196,7,1
197,7,1
198,7,1
199,7,1
200,7,1
201,7,1
202,7,1
203,7,1
204,7,1
205,6,1
206,7,1
207,7,1
208,7,1
209,7,1
210,7,1
211,6,1
212,7,1
213,7,1
214,2,1
215,7,1
216,7,1
217,7,1
218,6,1
219,7,1
220,7,1
221,7,1
222,7,1
223,7,1
224,7,1
225,7,1
226,7,1
227,7,1
228,7,1
229,6,1
230,7,1
231,7,1
232,7,1
233,7,1
234,6,1
235,7,1
236,7,1
237,7,1
238,7,1
239,7,1
240,7,1
241,7,1
242,6,1
243,7,1
244,7,1
245,7,1
246,7,1
247,6,1
248,5,1
249,7,1
250,7,1
251,7,1
252,7,1
253,7,1
254,7,1
255,7,1
256,7,1
257,7,1
258,7,1
259,7,1
260,7,1
261,7,1
262,7,1
263,7,1
264,6,1
265,7,1
266,3,1
267,6,1
268,7,1
269,7,1
270,7,1
271,7,1
272,7,1
273,6,1
274,7,1
275,5,1
276,6,1
277,7,1
278,7,1
279,7,1
280,3,1
281,7,1
282,7,1
283,7,1
284,7,1
285,7,1
286,7,1
287,4,1
288,6,1
289,7,1
290,7,1
291,6,1
292,7,1
293,6,1
294,6,1
295,7,1
296,7,1
297,7,1
298,7,1
299,7,1
300,7,1
301,7,1
302,7,1
303,7,1
304,7,1
305,7,1
306,7,1
307,7,1
